day,depth,distance,gap,hour,id,latitude,longitude,magnitude,minute,month,area,second,significance,time.full,year
7,32,0.65577016,248.4,6,pr16220004,19.1189,-66.3655,2.7,4,8,Puerto Rico,49,112,8/7/2016 6:04,2016
7,6.278,0,44,19,us10006bzr,35.5924,-97.3913,2.7,35,8,Oklahoma,11,116,8/7/2016 19:35,2016
8,7,0.39076715,212.4,4,pr16221011,18.7768,-67.4521,2.7,57,8,Puerto Rico,43,112,8/8/2016 4:57,2016
8,29,0.64229543,248.4,5,pr16221013,19.11,-66.3965,2.7,38,8,Puerto Rico,31,112,8/8/2016 5:38,2016
8,39,0.74919495,349.2,5,pr16221017,18.7299,-66.0736,2.7,54,8,Puerto Rico,17,112,8/8/2016 5:54,2016
8,8,0.39256378,226.8,6,pr16221014,18.778,-67.459,2.7,3,8,Puerto Rico,58,112,8/8/2016 6:03,2016
8,1,0,0,8,us10006c1p,58.902,-136.4099,2.7,7,8,Alaska,7,112,8/8/2016 8:07,2016
9,5.01,0.063,103,3,us10006c9i,37.0547,-97.5375,2.7,10,8,Kansas,23,112,8/9/2016 3:10,2016
10,5,0.529,116,6,us10006ckk,37.6196,-97.1033,2.7,49,8,Kansas,29,114,8/10/2016 6:49,2016
10,41.4,0.9513159,287.999977,7,ak13839419,59.0729,-145.252,2.7,42,8,Alaska,17,112,8/10/2016 7:42,2016
11,67,0.16169675,223.2,1,pr16224002,18.6208,-67.0544,2.7,8,8,Puerto Rico,38,112,8/11/2016 1:08,2016
11,62,0.61804092,255.6,4,pr16224005,18.9785,-67.9486,2.7,16,8,Dominican Republic,26,112,8/11/2016 4:16,2016
12,33,0.57851504,309.6,1,pr16225002,18.943,-67.6501,2.7,4,8,Puerto Rico,7,112,8/12/2016 1:04,2016
12,16,0.5407858,302.4,13,pr16225009,18.923,-64.405,2.7,14,8,British Virgin Islands,46,112,8/12/2016 13:14,2016
